company,product,year,value_dkk_or_usd_mn,page,source_file,raw_line,duplicate_page_flag
Eli Lilly,Zepbound,2024,4925,51,Annual Reports 2024.pdf,"Zepbound 4,925.7 — 4,925.7 175.8 NM",2
Eli Lilly,Zepbound,2024,4925,70,Annual Reports 2024.pdf,"Zepbound 4,925.7 175.8 — — — —",2
Novo Nordisk,Wegovy,2023,64319,90,novo-nordisk-annual-report-2023.pdf,"continued launch of Wegovy® in new markets. Year-end employees (total) 64,319 55,185 48,478",1
Novo Nordisk,Wegovy,2023,1200,32,novo-nordisk-annual-report-2023.pdf,"Surging demand, limited supply and unprecedented global The success of Wegovy®, which builds on our experience with 1,200 1,007",1
Novo Nordisk,Wegovy,2023,1034,35,novo-nordisk-annual-report-2023.pdf,"Sales of Obesity care products, Wegovy® and Saxenda®, increased by 147% re-establishing supply of rare endocrine disorder products. Sogroya® compared with DKK 1,034 million in 2022, mainly driven by lower income",1
Novo Nordisk,Wegovy,2022,83371,37,novo-nordisk-annual-report-2022.pdf,"kroner and by 42% at CER to DKK 83,371 million. The GLP- Wegovy®, increased by 101% measured in Danish kroner",2
Novo Nordisk,Rybelsus,2024,5453,114,novo-nordisk-annual-report-2024.pdf,"marketed products include Rybelsus® with a carrying value of DKK 5,453 million For acquired research and development projects, and intellectual property rights,",1
Novo Nordisk,Rybelsus,2023,6018,62,novo-nordisk-annual-report-2023.pdf,"In addition, intellectual property rights contain DKK 6,018 million related to Rybelsus®",1
Novo Nordisk,Rybelsus,2022,28448,38,novo-nordisk-annual-report-2022.pdf,"Danish kroner and by 15% at CER to DKK 28,448 million, Ozempic® and Rybelsus®, as well as Obesity care market contracts. The foreign exchange result was a net loss of DKK",2
Novo Nordisk,Rybelsus,2022,20542,37,novo-nordisk-annual-report-2022.pdf,"as Rest of World and EMEA. Rybelsus® has been launched in Danish kroner and by 1% at CER to DKK 20,542 million.",2
Novo Nordisk,Rybelsus,2022,7150,66,novo-nordisk-annual-report-2022.pdf,"As of 31 December 2022, goodwill is allocated to the segments Diabetes and Rybelsus (DKK 7,150 million in 2021), which has a remaining useful life of 12 of being achieved. Intangible assets acquired in a business combination are",1
Novo Nordisk,Rybelsus,2021,19203,34,novo-nordisk-annual-report-2021.pdf,"World. Rybelsus® has now been launched in 29 countries. Danish kroner and by 4% at CER to DKK 19,203 million in line",1
Novo Nordisk,Rybelsus,2021,7150,62,novo-nordisk-annual-report-2021.pdf,"related to Rybelsus is DKK 7,150 million (DKK 7,716 million in 2020), which",1
Novo Nordisk,Rybelsus,2021,4000,25,novo-nordisk-annual-report-2021.pdf,"already being used by more than 4,000 patients in 36 countries Beyond insulin, we have continued the rollout of Rybelsus®, our for patients living with obesity), and the other looking at",1
Novo Nordisk,Rybelsus,2020,21211,30,Novo-Nordisk-Annual-Report-2020.pdf,"21,211 million, and Rybelsus® has been launched GLP-1 sales as reported Sales of Norditropin® increased by 6% measured",2
Novo Nordisk,Rybelsus,2020,7716,59,Novo-Nordisk-Annual-Report-2020.pdf,"carrying amount of acquired intangible assets related to Rybelsus is DKK 7,716 the achievement of the event is probable. Development costs incurred net present value of estimated future cash flows from marketable products.",1
Novo Nordisk,Rybelsus,2020,1837,54,Novo-Nordisk-Annual-Report-2020.pdf,"Rybelsus® 36 — — 36 — — — — — — — — 1,837 50 — 1,826 50 — 1,873 50 —",2
Novo Nordisk,Ozempic,2022,28448,38,novo-nordisk-annual-report-2022.pdf,"Danish kroner and by 15% at CER to DKK 28,448 million, Ozempic® and Rybelsus®, as well as Obesity care market contracts. The foreign exchange result was a net loss of DKK",2
Novo Nordisk,Ozempic,2020,41831,30,Novo-Nordisk-Annual-Report-2020.pdf,"CER to DKK 41,831 million . Ozempic® has now Sales split in Diabetes care was negatively impacted by lower demand due to",2
Novo Nordisk,Ozempic,2020,3634,54,Novo-Nordisk-Annual-Report-2020.pdf,"Ozempic® 3,634 1,143 39 3,112 969 39 10 — — 512 174 — 17,577 10,094 1,757 16,650 9,599 1,634 21,211 11,237 1,796",2
Eli Lilly,Mounjaro,2024,8949,51,Annual Reports 2024.pdf,"Mounjaro $ 8,949.9 $ 2,590.2 $ 11,540.1 $ 5,163.1 124",2
Eli Lilly,Mounjaro,2024,8949,70,Annual Reports 2024.pdf,"Mounjaro $ 8,949.9 $ 4,834.2 $ 366.6 $ 2,590.2 $ 328.9 $ 115.9",2
Eli Lilly,Mounjaro,2023,4834,49,Annual Reports 2023.pdf,"Mounjaro . . . . . . . . . . . . . . . . . . . . . . . . . . 4,834.2 328.9 5,163.1 482.5 NM",1
Eli Lilly,Mounjaro,2023,4834,68,Annual Reports 2023.pdf,"Mounjaro® . . . . . . . . . . . . . 4,834.2 366.6 — 328.9 115.9 —",1
